,RMSE,Error > 1m
"(40, 5)",337.1808673934123,True
"(40, 10)",186.89491473266227,True
"(45, 5)",353.8198120690144,True
"(45, 10)",367.59749673385414,True
"(50, 5)",184.66240701395506,True
"(50, 10)",287.7570290184238,True
"(50, 15)",347.33917401034125,True
"(50, 20)",263.5776314394531,True
"(50, 25)",287.79420204650665,True
"(50, 30)",288.181431458636,True
"(55, 5)",320.11895513987446,True
"(55, 10)",54.904612976122834,True
"(55, 15)",270.5091619915713,True
"(55, 20)",29.54967254964751,True
"(55, 25)",334.4856391593886,True
"(55, 30)",276.6512570275395,True
"(60, 25)",194.56001693858914,True
"(60, 30)",70.00242086430735,True
"(60, 35)",199.65271045885413,True
"(60, 40)",166.6774008835259,True
"(65, 30)",340.35334153614883,True
"(65, 35)",165.36705410484626,True
"(65, 40)",279.0324516446171,True
"(65, 45)",286.5066372325462,True
"(65, 50)",168.95654986702797,True
"(70, 30)",253.93492789762956,True
"(70, 35)",351.1247185320656,True
"(70, 40)",314.01963081846594,True
"(70, 45)",193.71024085366722,True
"(70, 50)",422.0833630506857,True
"(70, 55)",40.347216444363006,True
"(75, 35)",354.75812580117326,True
"(75, 40)",223.16911309384741,True
"(75, 45)",89.70899633285038,True
"(75, 50)",290.7564042555366,True
"(75, 55)",141.65907543657727,True
"(75, 60)",28.981512244812237,True
"(75, 65)",167.8324676220081,True
"(75, 75)",254.89268922647636,True
"(80, 25)",344.5404731017368,True
"(80, 45)",120.38746610967523,True
"(80, 50)",260.8263103700716,True
"(80, 55)",127.01824456626014,True
"(80, 60)",105.20840908523436,True
"(80, 65)",177.44081029562443,True
"(80, 70)",275.3019899695213,True
"(80, 75)",391.02891591296867,True
"(85, 35)",257.2618242755949,True
"(85, 50)",233.90590899770422,True
"(85, 55)",120.5989772114527,True
"(85, 60)",241.9496950310932,True
"(85, 65)",53.04800591975661,True
"(85, 70)",183.02296182073684,True
"(85, 75)",127.51990141323782,True
"(85, 80)",272.40626408108346,True
"(85, 85)",305.49783930336145,True
"(85, 95)",353.3079170467471,True
"(90, 40)",223.11928681326648,True
"(90, 60)",237.86921313432583,True
"(90, 65)",63.57131194043608,True
"(90, 70)",173.23238578451839,True
"(90, 75)",107.47250021561494,True
"(90, 80)",287.4226210176046,True
"(90, 85)",178.0883779762479,True
"(90, 90)",182.5145790616201,True
"(90, 95)",132.1222954494116,True
"(90, 100)",313.5601691764798,True
"(95, 60)",200.2258101996127,True
"(95, 70)",313.49343464479676,True
"(95, 75)",188.0073148185638,True
"(95, 80)",147.3489620023703,True
"(95, 85)",300.40417176652574,True
"(95, 90)",124.63114118029084,True
"(95, 95)",169.00438469925558,True
"(95, 100)",232.99040382008877,True
"(95, 105)",328.93653288335753,True
"(100, 60)",182.74567213109097,True
"(100, 65)",251.32634764716983,True
"(100, 70)",312.3281753682048,True
"(100, 80)",279.86698568152684,True
"(100, 85)",332.4126306524381,True
"(100, 90)",230.93552329015924,True
"(100, 95)",169.46939541591783,True
"(100, 100)",241.0612536166626,True
"(100, 105)",8.501445291745705,True
"(100, 110)",489.5035108337879,True
"(100, 115)",117.858787144008,True
"(100, 135)",322.8934152683326,True
"(105, 85)",98.26893440441198,True
"(105, 90)",293.8547100569624,True
"(105, 95)",180.0932920581354,True
"(105, 100)",284.9918715295862,True
"(105, 105)",160.1547458664614,True
"(105, 110)",183.34683597553558,True
"(105, 115)",211.0756066313968,True
"(105, 120)",259.7157163772851,True
"(110, 80)",284.9665364469509,True
"(110, 85)",199.27219630738813,True
"(110, 90)",224.54458720562556,True
"(110, 100)",469.1146751784101,True
"(110, 105)",283.40270280688264,True
"(110, 110)",184.25341040210165,True
"(110, 115)",277.97020881636325,True
"(110, 120)",219.78936553721792,True
"(110, 125)",115.00196668497998,True
"(110, 130)",42.13585493438484,True
"(110, 150)",51.29771646324476,True
"(110, 155)",255.5382309254557,True
"(115, 110)",193.4465474253038,True
"(115, 115)",207.14302591492353,True
"(115, 120)",348.2383359981021,True
"(115, 125)",289.96348848692134,True
"(115, 130)",204.05864430635293,True
"(115, 135)",250.722620153711,True
"(115, 140)",295.4643935488483,True
"(115, 150)",170.25271912781258,True
"(120, 115)",195.99056057154138,True
"(120, 120)",256.86867813611093,True
"(120, 125)",378.57819388114734,True
"(120, 130)",128.1280864000483,True
"(120, 135)",254.47826504070824,True
"(120, 140)",60.69678466167316,True
"(120, 145)",398.42393633791653,True
"(120, 150)",198.31477473034832,True
"(120, 165)",156.08898789911245,True
"(120, 170)",151.57493877697473,True
"(125, 125)",244.36757925963397,True
"(125, 130)",239.83201558592103,True
"(125, 135)",218.48352537338656,True
"(125, 140)",31.153856424986966,True
"(125, 145)",272.4914329953471,True
"(125, 150)",237.01202082704148,True
"(125, 155)",193.67731004278073,True
"(125, 160)",117.52508148589331,True
"(125, 165)",151.16457504923855,True
"(125, 170)",3.423721593818705,True
"(130, 135)",6.0803488306056845,True
"(130, 140)",217.5846842968081,True
"(130, 145)",116.15838500349224,True
"(130, 150)",197.17461298532,True
"(130, 155)",246.3545438488356,True
"(130, 160)",62.056165327843175,True
"(130, 165)",266.13730967875676,True
"(130, 170)",237.128534307744,True
"(130, 175)",183.23459899134807,True
"(135, 145)",296.80985143929365,True
"(135, 150)",141.1605375125356,True
"(135, 155)",234.87160860960552,True
"(135, 160)",250.49594998924638,True
"(135, 165)",206.89642864989133,True
"(135, 170)",3.392862884522761,True
"(135, 175)",154.02842330292944,True
"(135, 180)",2.322799117764732,True
"(140, 135)",111.85055841482563,True
"(140, 150)",210.93751515048473,True
"(140, 155)",104.99708699083622,True
"(140, 160)",188.30316031179146,True
"(140, 165)",76.90439646080951,True
"(140, 170)",225.18734455856094,True
"(140, 175)",173.0256134323096,True
"(140, 180)",127.68446007203414,True
"(140, 185)",1.198359979005125,True
"(140, 190)",399.84597618948254,True
"(145, 150)",119.58837238585082,True
"(145, 155)",207.936358608033,True
"(145, 160)",65.25249909445968,True
"(145, 165)",34.70188772678197,True
"(145, 170)",238.88399408851708,True
"(145, 175)",171.41171046084213,True
"(145, 180)",4.4248077148297575,True
"(145, 185)",96.11817672912358,True
"(145, 190)",155.75760168865241,True
"(145, 195)",183.47358591244972,True
"(145, 200)",2.494525733283436,True
"(150, 150)",160.77639599790157,True
"(150, 155)",142.83943891140504,True
"(150, 160)",9.148482238006594,True
"(150, 165)",213.02210736949866,True
"(150, 170)",299.6888748741716,True
"(150, 175)",118.84474971465352,True
"(150, 180)",116.79212856618389,True
"(150, 185)",5.965054489442194,True
"(150, 190)",27.335706584961613,True
"(150, 195)",20.92816848505678,True
"(150, 200)",204.09458934075553,True
"(150, 205)",150.41818114646856,True
"(150, 210)",204.30267033338623,True
"(155, 155)",4.345826145901736,True
"(155, 175)",324.1287039903461,True
"(155, 180)",154.4625204833557,True
"(155, 190)",212.69562536361596,True
"(155, 195)",401.56311984676205,True
"(155, 200)",6.136891563123189,True
"(155, 205)",109.02163651975904,True
"(155, 210)",363.01334047542787,True
"(155, 215)",133.82792974076085,True
"(155, 220)",2.7780693099306046,True
"(155, 225)",212.50846747545958,True
"(155, 230)",0.986388899253787,False
"(160, 160)",204.94425720779577,True
"(160, 195)",258.1802663286152,True
"(160, 200)",3.0063124516160027,True
"(160, 205)",159.89961495427374,True
"(160, 210)",3.0224644049290648,True
"(160, 215)",190.09742121707058,True
"(160, 220)",3.0562755189731896,True
"(160, 225)",4.6836264128111145,True
"(160, 230)",0.3232311339122986,False
"(165, 195)",2.586047023635176,True
"(165, 200)",151.01091256023244,True
"(165, 205)",369.39436889197344,True
"(165, 210)",174.24506673691508,True
"(165, 215)",5.067617892542077,True
"(165, 220)",1.6642106286452747,True
"(165, 225)",340.5897141979381,True
"(165, 230)",3.021759487123388,True
"(165, 235)",0.4529805870127855,False
"(165, 240)",2.589996279387935,True
"(170, 205)",5.435972677253149,True
"(170, 210)",2.0828012588991016,True
"(170, 215)",7.289361456498224,True
"(170, 220)",31.177747285721267,True
"(170, 225)",3.714281613649436,True
"(170, 230)",0.885456167709653,False
"(170, 235)",5.092116553529324,True
"(170, 240)",4.994581076898911,True
"(170, 245)",1.5942208502769877,True
"(170, 250)",2.210081355578915,True
"(175, 210)",1.5450625676684284,True
"(175, 215)",4.461318914997444,True
"(175, 220)",122.46258705971029,True
"(175, 225)",3.4722780802294326,True
