,RMSE,Error > 1m
"(40, 5)",211.95097990962154,True
"(40, 10)",209.56117450998025,True
"(45, 5)",206.86556421304752,True
"(45, 10)",398.0425438956231,True
"(50, 5)",11.742598100789193,True
"(50, 10)",6.705542583386877,True
"(50, 15)",23.82161730628673,True
"(50, 20)",171.99948257104296,True
"(50, 25)",414.350182454308,True
"(50, 30)",267.4128296470931,True
"(55, 5)",237.11012660486358,True
"(55, 10)",6.428385365564928,True
"(55, 15)",351.06430867097265,True
"(55, 20)",4.591589235774289,True
"(55, 25)",14.202807954040983,True
"(55, 30)",294.4069562679879,True
"(60, 25)",83.872213417748,True
"(60, 30)",6.230158835207533,True
"(60, 35)",10.741265191510463,True
"(60, 40)",186.27445372915594,True
"(65, 30)",2.985796741618357,True
"(65, 35)",7.794576570064371,True
"(65, 40)",7.476793105441752,True
"(65, 45)",4.441112328468601,True
"(65, 50)",187.0191287565712,True
"(70, 30)",273.84504531335716,True
"(70, 35)",16.216456385698518,True
"(70, 40)",161.27665031712422,True
"(70, 45)",4.714581420027031,True
"(70, 50)",213.04619348842184,True
"(70, 55)",10.272141891014991,True
"(75, 35)",295.67456628861896,True
"(75, 40)",8.554726050552992,True
"(75, 45)",163.097380272452,True
"(75, 50)",251.29036612881194,True
"(75, 55)",2.3024293339737536,True
"(75, 60)",17.003763507309852,True
"(75, 65)",9.95254256473182,True
"(75, 75)",6.877228955318196,True
"(80, 25)",347.51285214448063,True
"(80, 45)",12.434411549451655,True
"(80, 50)",2.4742335911095887,True
"(80, 55)",1.2827812088189643,True
"(80, 60)",3.9540135888132415,True
"(80, 65)",1.9063990358341685,True
"(80, 70)",8.762765581256792,True
"(80, 75)",9.567289566590091,True
"(85, 35)",6.39088457848857,True
"(85, 50)",50.420939400952676,True
"(85, 55)",7.135706725081061,True
"(85, 60)",7.323321746101114,True
"(85, 65)",3.94892788990926,True
"(85, 70)",3.520912240552709,True
"(85, 75)",1.7242823319358624,True
"(85, 80)",8.277305761791176,True
"(85, 85)",9.546588840288734,True
"(85, 95)",7.3192804044577455,True
"(90, 40)",2.724788133220829,True
"(90, 60)",7.275843863819983,True
"(90, 65)",1.7171374197602824,True
"(90, 70)",12.807176045524137,True
"(90, 75)",2.633069676365413,True
"(90, 80)",4.194412596348007,True
"(90, 85)",1.8259443325972575,True
"(90, 90)",10.729556154256402,True
"(90, 95)",1.9361637115083543,True
"(90, 100)",1.2620095280977217,True
"(95, 60)",2.2133327774438625,True
"(95, 70)",7.112874737585295,True
"(95, 75)",10.797998320184046,True
"(95, 80)",3.7884366161507623,True
"(95, 85)",3.2127733901539424,True
"(95, 90)",2.9736099259502295,True
"(95, 95)",4.521331966552322,True
"(95, 100)",7.915533343190763,True
"(95, 105)",1.258443497428979,True
"(100, 60)",2.2073840355884613,True
"(100, 65)",242.7549812890138,True
"(100, 70)",6.573899349742328,True
"(100, 80)",6.99601719873641,True
"(100, 85)",7.810104173307758,True
"(100, 90)",3.8716314485896137,True
"(100, 95)",18.388513321441852,True
"(100, 100)",4.449195207831862,True
"(100, 105)",11.872081979595348,True
"(100, 110)",10.18442817393563,True
"(100, 115)",3.6467963828131893,True
"(100, 135)",1.814753840654034,True
"(105, 85)",1.8020941649272402,True
"(105, 90)",4.184856404018438,True
"(105, 95)",3.865286295041021,True
"(105, 100)",1.4943815807471312,True
"(105, 105)",3.5848763879052337,True
"(105, 110)",2.1529751672131345,True
"(105, 115)",6.715982994748133,True
"(105, 120)",5.375407756769046,True
"(110, 80)",2.7391586204615943,True
"(110, 85)",3.9209005987497996,True
"(110, 90)",2.7275716332035267,True
"(110, 100)",5.880220606214205,True
"(110, 105)",1.3660849343028822,True
"(110, 110)",6.5505512616771355,True
"(110, 115)",1.364806772832608,True
"(110, 120)",1.0081384085235747,True
"(110, 125)",3.0607799170279533,True
"(110, 130)",7.3033598108215845,True
"(110, 150)",1.1704954689783882,True
"(110, 155)",3.246228436842371,True
"(115, 110)",0.22362496024870468,False
"(115, 115)",2.1469800179525707,True
"(115, 120)",3.299095010620283,True
"(115, 125)",2.9800056289174415,True
"(115, 130)",3.883196975054414,True
"(115, 135)",0.6002740080929196,False
"(115, 140)",0.4006583759055931,False
"(115, 150)",6.022495318836291,True
"(120, 115)",0.9677649707324398,False
"(120, 120)",2.517775811894371,True
"(120, 125)",1.2163577775706444,True
"(120, 130)",2.9407605723368593,True
"(120, 135)",9.241338503910105,True
"(120, 140)",5.77559904350521,True
"(120, 145)",1.7830603576775783,True
"(120, 150)",6.96509630991809,True
"(120, 165)",1.9810409630200683,True
"(120, 170)",0.6938880894277736,False
"(125, 125)",0.8549656107311978,False
"(125, 130)",2.0533732064554977,True
"(125, 135)",1.9333792343846326,True
"(125, 140)",2.512792791934584,True
"(125, 145)",1.8737495490543905,True
"(125, 150)",1.3337786171532569,True
"(125, 155)",0.8563934122218776,False
"(125, 160)",2.1896092079343177,True
"(125, 165)",9.294582103722899,True
"(125, 170)",5.475210498253955,True
"(130, 135)",2.31676395594894,True
"(130, 140)",3.957502697349124,True
"(130, 145)",1.1487401604279375,True
"(130, 150)",0.2775803929989714,False
"(130, 155)",1.4864510459174423,True
"(130, 160)",1.0046062570492282,True
"(130, 165)",0.6243496311218484,False
"(130, 170)",0.41930566405726644,False
"(130, 175)",6.902193422642757,True
"(135, 145)",2.6806169633025725,True
"(135, 150)",1.672275409048055,True
"(135, 155)",2.849680460180349,True
"(135, 160)",1.9865381120805068,True
"(135, 165)",3.577423012832683,True
"(135, 170)",1.4556134863932877,True
"(135, 175)",1.8396729100812255,True
"(135, 180)",6.305885935290702,True
"(140, 135)",1.8373983902888686,True
"(140, 150)",2.5774222981138153,True
"(140, 155)",0.6621761339104314,False
"(140, 160)",3.0276697155416814,True
"(140, 165)",2.4456031266074056,True
"(140, 170)",0.40071823629866576,False
"(140, 175)",0.9057925832212431,False
"(140, 180)",0.6215304964391867,False
"(140, 185)",0.234973496190852,False
"(140, 190)",0.38334902656947617,False
"(145, 150)",3.4528111209900914,True
"(145, 155)",2.712138846193025,True
"(145, 160)",1.9155108975277644,True
"(145, 165)",3.305616648290681,True
"(145, 170)",2.634905593786863,True
"(145, 175)",2.0189411799838486,True
"(145, 180)",0.6587641000214525,False
"(145, 185)",1.0740025065999248,True
"(145, 190)",1.4706986403747637,True
"(145, 195)",0.0839716496932524,False
"(145, 200)",0.9021690998961205,False
"(150, 150)",1.9939164288575442,True
"(150, 155)",1.7371533420938867,True
"(150, 160)",2.945090848135029,True
"(150, 165)",0.1999065365456317,False
"(150, 170)",0.6982497994560178,False
"(150, 175)",0.8102729767220905,False
"(150, 180)",1.9166820528762547,True
"(150, 185)",1.6774830058459989,True
"(150, 190)",0.9549494186495789,False
"(150, 195)",0.797715679438136,False
"(150, 200)",0.41598435746191037,False
"(150, 205)",0.8772206403900774,False
"(150, 210)",0.2587178134041091,False
"(155, 155)",0.971171080668702,False
"(155, 175)",0.49137603341170283,False
"(155, 180)",0.8939411660000781,False
"(155, 190)",0.8253021155748572,False
"(155, 195)",0.6829531267813388,False
"(155, 200)",1.051835228107435,True
"(155, 205)",0.6926506658395698,False
"(155, 210)",0.6447338304190517,False
"(155, 215)",1.2589630581026428,True
"(155, 220)",1.1248950831049782,True
"(155, 225)",0.5427920083298324,False
"(155, 230)",0.5111594516885596,False
"(160, 160)",2.0292036903051236,True
"(160, 195)",0.09202837927417871,False
"(160, 200)",0.5302645632782053,False
"(160, 205)",1.2453523531339912,True
