,RMSE,Error > 1m
"(40, 5)",285.0714035912383,True
"(40, 10)",154.28871618717193,True
"(45, 5)",254.74211126433627,True
"(45, 10)",77.48096292201552,True
"(50, 5)",146.58401668127192,True
"(50, 10)",196.9797161351332,True
"(50, 15)",278.7754585579192,True
"(50, 20)",179.75838354627368,True
"(50, 25)",100.01402837400997,True
"(50, 30)",206.11058042894396,True
"(55, 5)",310.3691965075084,True
"(55, 10)",260.68275280265283,True
"(55, 15)",204.6587775614038,True
"(55, 20)",150.22236149048058,True
"(55, 25)",197.48700753100883,True
"(55, 30)",309.8259881051973,True
"(60, 25)",339.9717134826517,True
"(60, 30)",156.08126492408522,True
"(60, 35)",252.47044232499624,True
"(60, 40)",296.5953773629789,True
"(65, 30)",257.2029141781395,True
"(65, 35)",258.50463369191783,True
"(65, 40)",211.29695938966657,True
"(65, 45)",108.7835738846498,True
"(65, 50)",174.7842434081539,True
"(70, 30)",242.5377911529907,True
"(70, 35)",255.08167730197135,True
"(70, 40)",300.2615743829701,True
"(70, 45)",70.68891422406334,True
"(70, 50)",123.26444295127344,True
"(70, 55)",80.5693660161496,True
"(75, 35)",197.11959899030813,True
"(75, 40)",180.69123870505155,True
"(75, 45)",331.1409285715468,True
"(75, 50)",289.73561712134654,True
"(75, 55)",277.4455628089824,True
"(75, 60)",229.51448327633884,True
"(75, 65)",241.71502808853785,True
"(75, 75)",104.809485785025,True
"(80, 25)",200.04260147905327,True
"(80, 45)",252.7704054480036,True
"(80, 50)",116.26247523923956,True
"(80, 55)",275.0431779360022,True
"(80, 60)",273.2344102843336,True
"(80, 65)",118.4165276284168,True
"(80, 70)",396.0355653215743,True
"(80, 75)",121.2944183063809,True
"(85, 35)",341.76627325088936,True
"(85, 50)",87.57495900310323,True
"(85, 55)",332.35003980699,True
"(85, 60)",410.5988589217765,True
"(85, 65)",218.7888267472314,True
"(85, 70)",292.1517967757786,True
"(85, 75)",415.76451721022113,True
"(85, 80)",270.38506335401166,True
"(85, 85)",278.76987480804036,True
"(85, 95)",166.58208384936768,True
"(90, 40)",180.54867321321643,True
"(90, 60)",384.9414816929082,True
"(90, 65)",308.48890968211,True
"(90, 70)",321.0487785704252,True
"(90, 75)",210.69500364245252,True
"(90, 80)",287.90798045900476,True
"(90, 85)",58.32262256494672,True
"(90, 90)",205.76129512923103,True
"(90, 95)",273.5817029706431,True
"(90, 100)",167.75564884599385,True
"(95, 60)",363.70486329518883,True
"(95, 70)",303.83718708757607,True
"(95, 75)",125.7482323042491,True
"(95, 80)",316.07982295482157,True
"(95, 85)",244.3027740635562,True
"(95, 90)",335.2907408822159,True
"(95, 95)",458.49088677264086,True
"(95, 100)",129.38907663438815,True
"(95, 105)",178.5874711010512,True
"(100, 60)",278.5970617706033,True
"(100, 65)",205.08567826143883,True
"(100, 70)",231.6420948915117,True
"(100, 80)",295.7910290457273,True
"(100, 85)",32.059525303385556,True
"(100, 90)",184.8970999566933,True
"(100, 95)",304.5358885597729,True
"(100, 100)",290.5681365099846,True
"(100, 105)",160.48757222716992,True
"(100, 110)",48.770111480613664,True
"(100, 115)",209.25872185440727,True
"(100, 135)",169.06563803411612,True
"(105, 85)",290.40867403264764,True
"(105, 90)",340.66585522243844,True
"(105, 95)",277.7410465880995,True
"(105, 100)",2.5966342496073365,True
"(105, 105)",401.6277236542257,True
"(105, 110)",258.4235999850522,True
"(105, 115)",264.0990250952751,True
"(105, 120)",188.61024778705124,True
"(110, 80)",269.02887370222413,True
"(110, 85)",118.52656681669652,True
"(110, 90)",387.15541870368565,True
"(110, 100)",347.95023288677936,True
"(110, 105)",166.34621556960224,True
"(110, 110)",90.28443566122822,True
"(110, 115)",461.2434662087614,True
"(110, 120)",157.76472641158554,True
"(110, 125)",307.46828985107203,True
"(110, 130)",99.55530785774842,True
"(110, 150)",267.92673491161884,True
"(110, 155)",243.14588195984985,True
"(115, 110)",166.86858332298874,True
"(115, 115)",130.26517904455264,True
"(115, 120)",254.91840998715222,True
"(115, 125)",258.7947738910347,True
"(115, 130)",253.11013595943336,True
"(115, 135)",112.39707612575378,True
"(115, 140)",181.89929572945505,True
"(115, 150)",100.23966229784162,True
"(120, 115)",48.35906442803055,True
"(120, 120)",6.997344385225701,True
"(120, 125)",218.47499363542323,True
"(120, 130)",316.9860780879377,True
"(120, 135)",227.08623744471845,True
"(120, 140)",277.69801417407854,True
"(120, 145)",325.97339453880585,True
"(120, 150)",292.06918933772005,True
"(120, 165)",206.7323428560129,True
"(120, 170)",146.95216312471135,True
"(125, 125)",250.34996465833467,True
"(125, 130)",184.43011154065098,True
"(125, 135)",446.71271384415303,True
"(125, 140)",250.98324964706242,True
"(125, 145)",313.1118076197317,True
"(125, 150)",178.90684642375973,True
"(125, 155)",4.404215655278401,True
"(125, 160)",384.1254993895503,True
"(125, 165)",13.899984574913061,True
"(125, 170)",179.76805251223473,True
"(130, 135)",213.32691797474965,True
"(130, 140)",218.56177296096675,True
"(130, 145)",215.32647494530528,True
"(130, 150)",313.46997199395054,True
"(130, 155)",230.30890170522227,True
"(130, 160)",201.7508043667086,True
"(130, 165)",119.4140636255223,True
"(130, 170)",341.16676948716656,True
"(130, 175)",6.2280967612237506,True
"(135, 145)",352.5430672103932,True
"(135, 150)",160.42396162537403,True
"(135, 155)",254.93521640299886,True
"(135, 160)",149.92435579999778,True
"(135, 165)",224.07025747587969,True
"(135, 170)",35.531752574496444,True
"(135, 175)",11.655788380830225,True
"(135, 180)",6.868873892651164,True
"(140, 135)",229.79445478379412,True
"(140, 150)",215.93996379386257,True
"(140, 155)",203.65189086744542,True
"(140, 160)",6.567817535956322,True
"(140, 165)",3.320208441401048,True
"(140, 170)",293.0259782899888,True
"(140, 175)",126.6591147398239,True
"(140, 180)",229.07193951427098,True
"(140, 185)",80.87648252767842,True
"(140, 190)",254.36717570472908,True
"(145, 150)",2.271872076170026,True
"(145, 155)",377.82476795144146,True
"(145, 160)",232.27613337241667,True
"(145, 165)",149.9505559390329,True
"(145, 170)",85.86346147382523,True
"(145, 175)",230.70589765117236,True
"(145, 180)",3.922286468226208,True
"(145, 185)",75.0163727644659,True
"(145, 190)",2.2465177066005304,True
"(145, 195)",123.43444274588332,True
"(145, 200)",1.8901210422596357,True
"(150, 150)",219.01692828822476,True
"(150, 155)",374.059010753971,True
"(150, 160)",453.4065325148372,True
"(150, 165)",9.9180365600369,True
"(150, 170)",209.1155104069403,True
"(150, 175)",13.65434402611657,True
"(150, 180)",4.208016933895782,True
"(150, 185)",1.4583673306849199,True
"(150, 190)",4.606795883048194,True
"(150, 195)",3.9173944303479695,True
"(150, 200)",147.55873100892092,True
"(150, 205)",166.23876324075678,True
"(150, 210)",2.711841629874251,True
"(155, 155)",2.399511080117721,True
"(155, 175)",242.1868305867642,True
"(155, 180)",215.07470823626136,True
"(155, 190)",126.33841140855426,True
"(155, 195)",93.18398519500276,True
"(155, 200)",4.8011249014209305,True
"(155, 205)",6.574456785669278,True
"(155, 210)",237.23638725794729,True
"(155, 215)",25.387083892149747,True
"(155, 220)",2.735206475534037,True
"(155, 225)",0.3580590178801147,False
"(155, 230)",3.821908321540332,True
"(160, 160)",260.8791474466554,True
"(160, 195)",178.91094191825917,True
"(160, 200)",3.815163740906205,True
"(160, 205)",4.284785697518319,True
"(160, 210)",120.22002738463715,True
"(160, 215)",1.7994257120688604,True
"(160, 220)",89.27199520702851,True
"(160, 225)",365.67370232571676,True
"(160, 230)",1.6868437422144702,True
"(165, 195)",12.026957215382264,True
"(165, 200)",5.625933227027043,True
"(165, 205)",4.298991738164033,True
"(165, 210)",298.40609431754274,True
"(165, 215)",2.70969251302916,True
"(165, 220)",0.17698524390912027,False
"(165, 225)",7.138118833024539,True
"(165, 230)",2.2793941239041993,True
"(165, 235)",176.66203002279838,True
"(165, 240)",3.2233951317490543,True
