,RMSE,Error > 1m
"(40, 5)",126.59737961031487,True
"(40, 10)",355.0151630171291,True
"(45, 5)",342.7958281377641,True
"(45, 10)",305.02078376109677,True
"(50, 5)",92.23530347382008,True
"(50, 10)",241.86047799771472,True
"(50, 15)",266.60150090401623,True
"(50, 20)",110.6376760621485,True
"(50, 25)",359.3690426003509,True
"(50, 30)",349.40113658919796,True
"(55, 5)",293.2659127297251,True
"(55, 10)",176.27096035687887,True
"(55, 15)",319.07221129384135,True
"(55, 20)",358.82591874188563,True
"(55, 25)",140.53834704662498,True
"(55, 30)",251.87698021513418,True
"(60, 25)",114.34223079340491,True
"(60, 30)",349.8357881130827,True
"(60, 35)",107.36774007623575,True
"(60, 40)",268.48895258558605,True
"(65, 30)",117.34430699111812,True
"(65, 35)",149.28334192888127,True
"(65, 40)",267.7866310087693,True
"(65, 45)",387.24299900309313,True
"(65, 50)",202.1681106157072,True
"(70, 30)",262.89534937749,True
"(70, 35)",204.28599576722593,True
"(70, 40)",417.53756778265756,True
"(70, 45)",326.1491923682313,True
"(70, 50)",261.53739193119657,True
"(70, 55)",444.1626563810595,True
"(75, 35)",333.07640588890297,True
"(75, 40)",102.91583619396086,True
"(75, 45)",66.73883006940987,True
"(75, 50)",247.27857723461176,True
"(75, 55)",65.21962220386021,True
"(75, 60)",324.2046652309112,True
"(75, 65)",306.10374659984353,True
"(75, 75)",210.74020154382396,True
"(80, 25)",115.52087823962293,True
"(80, 45)",187.27848840948002,True
"(80, 50)",310.43889924423934,True
"(80, 55)",149.86227202676227,True
"(80, 60)",281.9518471065145,True
"(80, 65)",98.75112486941084,True
"(80, 70)",310.0452001510511,True
"(80, 75)",252.14424140240678,True
"(85, 35)",201.5841530900126,True
"(85, 50)",180.61565268939793,True
"(85, 55)",317.4955213483049,True
"(85, 60)",284.1501842372059,True
"(85, 65)",196.64913550265743,True
"(85, 70)",237.5130562729815,True
"(85, 75)",203.42842270256452,True
"(85, 80)",145.2925003734698,True
"(85, 85)",151.0390841959841,True
"(85, 95)",160.10414208616425,True
"(90, 40)",397.81761821589606,True
"(90, 60)",283.92589361688886,True
"(90, 65)",242.58360710116332,True
"(90, 70)",279.5650452829246,True
"(90, 75)",286.29970548802396,True
"(90, 80)",274.6220162179516,True
"(90, 85)",194.165867809882,True
"(90, 90)",291.76594124076325,True
"(90, 95)",79.00660497582238,True
"(90, 100)",298.02023710075775,True
"(95, 60)",197.9259964543246,True
"(95, 70)",197.36189952083626,True
"(95, 75)",286.2401129904613,True
"(95, 80)",96.23670736692215,True
"(95, 85)",302.34360894140394,True
"(95, 90)",136.2955093142065,True
"(95, 95)",287.89438623234724,True
"(95, 100)",35.763676720673665,True
"(95, 105)",62.204952515275586,True
"(100, 60)",256.75329854895665,True
"(100, 65)",128.39623414720393,True
"(100, 70)",217.4708924945393,True
"(100, 80)",132.89203879230982,True
"(100, 85)",353.3103065661902,True
"(100, 90)",182.17567664558297,True
"(100, 95)",471.52822145480445,True
"(100, 100)",409.30920335963,True
"(100, 105)",138.90077808847144,True
"(100, 110)",110.76847004297748,True
"(100, 115)",258.52057159441017,True
"(100, 135)",228.32760234711532,True
"(105, 85)",76.55391907947337,True
"(105, 90)",178.32234730720708,True
"(105, 95)",222.67097141510862,True
"(105, 100)",179.19960742232885,True
"(105, 105)",185.13529346812766,True
"(105, 110)",29.034484913141938,True
"(105, 115)",320.8562090056515,True
"(105, 120)",225.19868092004336,True
"(110, 80)",59.23190391982442,True
"(110, 85)",468.30056906703925,True
"(110, 90)",76.7477379209061,True
"(110, 100)",208.12902340347935,True
"(110, 105)",265.8163568634465,True
"(110, 110)",109.26064174531513,True
"(110, 115)",413.9452891663873,True
"(110, 120)",241.82358016000535,True
"(110, 125)",103.05099496775861,True
"(110, 130)",453.35279455611135,True
"(110, 150)",168.37770928776834,True
"(110, 155)",201.09909480328957,True
"(115, 110)",234.25865860675876,True
"(115, 115)",156.17138596787893,True
"(115, 120)",269.19245277505644,True
"(115, 125)",216.54263849703213,True
"(115, 130)",238.74083258742778,True
"(115, 135)",80.49141173762285,True
"(115, 140)",46.500648487733876,True
"(115, 150)",219.03023362986832,True
"(120, 115)",193.76291662057392,True
"(120, 120)",274.591549541788,True
"(120, 125)",68.77813409720136,True
"(120, 130)",262.1075222693851,True
"(120, 135)",228.42944814307685,True
"(120, 140)",162.69273312834034,True
"(120, 145)",200.15496791704558,True
"(120, 150)",169.3501101792135,True
"(120, 165)",195.99386113198346,True
"(120, 170)",156.15125323716322,True
"(125, 125)",148.85127139308864,True
"(125, 130)",261.1914931912434,True
"(125, 135)",15.134699553167263,True
"(125, 140)",129.66367777763253,True
"(125, 145)",5.848592952332986,True
"(125, 150)",219.99013327090373,True
"(125, 155)",175.42098367247036,True
"(125, 160)",184.1426864707065,True
"(125, 165)",164.0536052019418,True
"(125, 170)",232.596283170869,True
"(130, 135)",215.8826286928117,True
"(130, 140)",230.9522456757416,True
"(130, 145)",166.25242271679895,True
"(130, 150)",155.38079439151093,True
"(130, 155)",162.20389143110742,True
"(130, 160)",344.646237956538,True
"(130, 165)",307.6246605258282,True
"(130, 170)",115.89183228224624,True
"(130, 175)",134.20005378992818,True
"(135, 145)",210.00468191482295,True
"(135, 150)",173.13349265127778,True
"(135, 155)",157.46513036995634,True
"(135, 160)",240.8502931518759,True
"(135, 165)",130.18891929347777,True
"(135, 170)",219.48270924520264,True
"(135, 175)",170.74389369005718,True
"(135, 180)",131.9275936234189,True
"(140, 135)",229.9945545404406,True
"(140, 150)",363.14494691824245,True
"(140, 155)",55.20839545885176,True
"(140, 160)",168.4652844354409,True
"(140, 165)",262.7379164616101,True
"(140, 170)",141.48534956460733,True
"(140, 175)",115.04522983484911,True
"(140, 180)",126.65507304338749,True
"(140, 185)",307.43049076824883,True
"(140, 190)",154.06615612926694,True
"(145, 150)",230.57318898562875,True
"(145, 155)",260.03560845683154,True
"(145, 160)",47.22430484757693,True
"(145, 165)",216.78062324336895,True
"(145, 170)",60.90615627474697,True
"(145, 175)",223.2682538370755,True
"(145, 180)",157.7145063402694,True
"(145, 185)",101.29941461233692,True
"(145, 190)",365.3068584405,True
"(145, 195)",272.4580558466258,True
"(145, 200)",345.5925818440182,True
"(150, 150)",158.44433725641807,True
"(150, 155)",182.3860749508337,True
"(150, 160)",139.5635846345536,True
"(150, 165)",49.229376329892936,True
"(150, 170)",317.8018925509484,True
"(150, 175)",278.4483024302976,True
"(150, 180)",157.81166769023363,True
"(150, 185)",234.75395191772967,True
"(150, 190)",152.82631916721678,True
"(150, 195)",208.03232115701655,True
"(150, 200)",179.16604620362995,True
"(150, 205)",199.27272783550072,True
"(150, 210)",311.246623314352,True
"(155, 155)",142.99195406210745,True
"(155, 175)",241.4038391506408,True
"(155, 180)",212.16211606798436,True
"(155, 190)",108.33239249458268,True
"(155, 195)",184.51111089063815,True
"(155, 200)",223.58517538049318,True
"(155, 205)",139.968604900216,True
"(155, 210)",166.52643587393376,True
"(155, 215)",97.04679841911438,True
"(155, 220)",79.38307774959245,True
"(155, 225)",2.214731323196028,True
"(155, 230)",96.98497246588236,True
"(160, 160)",175.51332832573326,True
"(160, 195)",88.50304588585307,True
"(160, 200)",126.6215129762564,True
"(160, 205)",199.064112926903,True
"(160, 210)",189.22863450535687,True
"(160, 215)",221.52294334277394,True
"(160, 220)",65.58845500832686,True
"(160, 225)",63.54012289025807,True
"(160, 230)",89.82279953423588,True
"(165, 195)",250.3509101473809,True
"(165, 200)",44.16583104952136,True
"(165, 205)",69.49805238878739,True
"(165, 210)",173.0654752480334,True
"(165, 215)",177.4267050120317,True
"(165, 220)",26.14389776825864,True
"(165, 225)",113.25257813850467,True
"(165, 230)",4.807731695450881,True
"(165, 235)",101.53754320595917,True
"(165, 240)",204.5766700487765,True
"(170, 205)",145.65149640014658,True
"(170, 210)",96.31727290476192,True
"(170, 215)",0.8247259719960259,False
"(170, 220)",183.5690989824826,True
"(170, 225)",416.3372319595695,True
"(170, 230)",181.89420774437218,True
"(170, 235)",79.21594939612557,True
"(170, 240)",163.23116323377337,True
"(170, 245)",178.0504632364838,True
"(170, 250)",370.2838642500497,True
"(175, 210)",199.7341964741802,True
"(175, 215)",75.53825446676682,True
"(175, 220)",0.72344073153181,False
"(175, 225)",276.96218266787844,True
"(175, 230)",135.7870200680611,True
"(175, 235)",263.80279841000316,True
"(175, 240)",158.78236814094572,True
"(175, 245)",2.987013765716117,True
"(175, 250)",144.6825246415681,True
"(175, 255)",0.5780859345050022,False
"(180, 205)",197.06320607793572,True
"(180, 210)",181.29680813100913,True
"(180, 220)",165.67569536725858,True
"(180, 225)",82.82027090140994,True
"(180, 230)",184.62730069797934,True
"(180, 235)",128.3492217632638,True
"(180, 240)",57.485597123172504,True
"(180, 245)",5.654096889152976,True
"(180, 250)",133.42463270769866,True
"(180, 255)",181.81916258762567,True
"(180, 260)",122.92922160747246,True
"(180, 265)",138.393785001664,True
"(185, 225)",131.5856484126819,True
"(185, 230)",200.09210666834875,True
"(185, 235)",173.66875000762911,True
"(185, 240)",140.2466658843527,True
"(185, 245)",85.95485412840186,True
"(185, 250)",2.3436910101389956,True
"(185, 255)",95.9928101017273,True
"(185, 260)",53.99235972606782,True
"(185, 265)",132.8797079327391,True
"(185, 270)",144.57138233502778,True
"(185, 275)",204.42309064811894,True
"(190, 245)",8.68521780700841,True
"(190, 250)",203.9678715181055,True
"(190, 255)",1.8935058836659797,True
"(190, 260)",101.77995211786093,True
"(190, 265)",2.996051203826142,True
"(190, 270)",151.7153332550391,True
"(190, 275)",3.6510978314617004,True
"(190, 280)",5.016049428063472,True
"(195, 225)",134.45353174542478,True
"(195, 250)",46.8690741388235,True
"(195, 255)",1.5628629492151465,True
"(195, 260)",1.2490784281362333,True
"(195, 265)",11.125701312251913,True
"(195, 270)",71.81740250930268,True
"(195, 275)",194.52876950562404,True
"(195, 280)",4.363529765341124,True
"(195, 285)",127.04447960138425,True
"(195, 290)",2.254664156243778,True
"(200, 235)",295.68898095081244,True
"(200, 260)",3.446024878311958,True
"(200, 265)",2.7075496055950046,True
"(200, 270)",189.5405200302988,True
"(200, 275)",0.4909439164700817,False
"(200, 280)",2.219359426404615,True
"(200, 285)",1.9817186036886443,True
"(200, 290)",2.4744092406348277,True
"(200, 295)",1.2057611303040279,True
"(200, 300)",1.515619977149302,True
"(205, 245)",136.39197282468317,True
"(205, 270)",0.7133376438191605,False
"(205, 275)",5.209878875648565,True
"(205, 280)",107.40637687191264,True
"(205, 285)",1.7877733802785314,True
"(205, 290)",1.3019564205265113,True
"(205, 295)",1.4780232618728255,True
"(205, 300)",0.3865357318377059,False
"(205, 305)",1.6752567208869398,True
"(205, 310)",1.3395521837502324,True
"(210, 300)",2.2841153310449673,True
"(210, 305)",0.397226741762579,False
"(210, 310)",2.2898504516439475,True
"(210, 315)",0.5233887859346024,False
"(215, 280)",129.89257260350763,True
"(215, 305)",1.8354379236008906,True
"(215, 310)",0.9545669340188732,False
"(215, 315)",0.6748090654630108,False
"(215, 320)",0.6262161537367614,False
"(215, 325)",2.8574623562139143,True
"(220, 280)",54.462304648344606,True
"(220, 305)",1.6257796708098056,True
"(220, 310)",0.9914544380137217,False
"(220, 315)",2.0095764946354793,True
"(220, 320)",0.8349163170228747,False
"(220, 325)",0.6454440176836503,False
"(220, 330)",1.2561717942081818,True
"(220, 335)",1.398767583380776,True
"(225, 310)",0.8242551120348901,False
"(225, 315)",0.2128855838702132,False
"(225, 320)",0.5066298816728225,False
"(225, 325)",0.3601508620814948,False
"(225, 330)",0.3869230634325712,False
"(225, 335)",0.3677140295962895,False
"(225, 340)",0.5008151539756595,False
"(225, 345)",0.21898202830329377,False
"(230, 320)",0.840056415391118,False
"(230, 325)",0.2521294414022388,False
"(230, 330)",0.09558089018130098,False
"(230, 335)",1.3049820829150172,True
"(230, 340)",0.6921195139102441,False
"(230, 345)",0.25809584194113205,False
"(230, 350)",0.7676764725046806,False
"(230, 355)",0.37895657100719854,False
"(235, 330)",0.4843390086667452,False
"(235, 335)",0.79652314731363,False
"(235, 340)",0.1866588903763719,False
"(235, 345)",0.3257672916248532,False
"(235, 350)",0.37963663972896117,False
"(235, 355)",0.4852121565941643,False
"(235, 360)",0.3512354093777353,False
"(235, 365)",0.1397825381620294,False
"(240, 315)",0.179899426046596,False
"(240, 340)",0.8170511083975625,False
"(240, 345)",0.3704886645730144,False
"(240, 350)",0.7977252528856914,False
"(240, 355)",0.14352283274970348,False
"(240, 360)",0.5672918860776829,False
"(240, 365)",0.2730695855038211,False
"(240, 370)",0.24554433974775894,False
"(240, 375)",0.30751300581644975,False
"(245, 325)",1.0010516499780435,True
