,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",0.8183376283807234,-0.4750611691003366,1.7919800000000001,-0.473158760215731,1.79
"(40, 10)",1.1040226727808644,-0.47944194552284225,1.7774500000000002,-0.4820599394009015,1.78
"(45, 5)",8.536139916181936,-0.46657886893564404,1.7782,-0.4895648551844767,1.78
"(45, 10)",1.6525954987161908,-0.4709072854805898,1.76354,-0.47350782606612984,1.77
"(50, 5)",16.856777547098154,-0.4580267556008719,1.7709000000000001,-0.5037020221256299,1.77
"(50, 10)",10.980443454576703,-0.4623028122682582,1.75618,-0.492182849062468,1.76
"(50, 15)",6.9285579098307375,-0.46664868210572363,1.74149,-0.4857251308300894,1.74
"(50, 20)",7.9447961252435935,-0.47106436511326955,1.7268100000000002,-0.4930555136884651,1.73
"(50, 25)",12.81232411879985,-0.47556731458341517,1.7122600000000001,-0.4399975044278408,1.72
"(50, 30)",6.560847187187488,-0.4801400772236404,1.69771,-0.46163958715256914,1.7
"(55, 5)",1.3445132108940057,-0.44940482909601975,1.7637200000000002,-0.45238934211699977,1.76
"(55, 10)",13.680575431308139,-0.453611072593326,1.74893,-0.4911356515112715,1.75
"(55, 15)",11.586204178232146,-0.4579045825532324,1.73408,-0.4897393881096761,1.74
"(55, 20)",9.530719261858241,-0.4622679056832184,1.71932,-0.488866723483679,1.72
"(55, 25)",9.864117432467056,-0.46670104198328355,1.7047,-0.4942772441648611,1.71
"(55, 30)",2.7038468603657546,-0.47122144474594885,1.69016,-0.47891834674731193,1.69
"(60, 25)",11.872124521369775,-0.4577649562130728,1.6973,-0.4913101844364709,1.7
"(60, 30)",5.576328604963495,-0.46223299909817817,1.6827,-0.47752208334571655,1.69
"(60, 35)",9.436027209985085,-0.4667708551533636,1.6681000000000001,-0.49392817831446223,1.67
"(60, 40)",8.463795269146123,-0.4713959776711487,1.65354,-0.4471533543610171,1.6600000000000001
"(65, 30)",1.3849507809824162,-0.4531572869878078,1.6753900000000002,-0.4502949470146067,1.68
"(65, 35)",11.269382056020898,-0.4576427831654333,1.66078,-0.49026298688527437,1.6600000000000001
"(65, 40)",9.735111905942489,-0.46219809251313837,1.6461800000000002,-0.43388885204586103,1.6500000000000001
"(65, 45)",8.473781831177247,-0.4668581216159633,1.63152,-0.49183378321206916,1.6300000000000001
"(65, 50)",4.6824957876906925,-0.4715879638888678,1.61688,-0.45779986279818186,1.62
"(70, 30)",1.4916757303933854,-0.4439943084148372,1.6683500000000002,-0.4398229715026414,1.67
"(70, 35)",9.785024814794554,-0.44840999142238314,1.6536600000000001,-0.4202752838803061,1.6600000000000001
"(70, 40)",1.2077776070644684,-0.45291294089252876,1.6389500000000001,-0.4564035993965865,1.6400000000000001
"(70, 45)",11.555538508412917,-0.45750315682527365,1.62421,-0.4914847173616703,1.6300000000000001
"(70, 50)",8.292113041075654,-0.4621631859280986,1.60949,-0.43737951054984947,1.61
"(70, 55)",8.297372509291838,-0.4669279347860429,1.59483,-0.49183378321206916,1.59
"(75, 35)",0.7077880335723047,-0.4391073865092534,1.64665,-0.43947390565224254,1.6500000000000001
"(75, 40)",6.833590289088582,-0.443540522809319,1.6318500000000002,-0.4234168765338957,1.6300000000000001
"(75, 45)",1.8754706997121364,-0.4480609255719843,1.61703,-0.44279003123103156,1.62
"(75, 50)",7.9981012586690525,-0.4526511415047296,1.60226,-0.42865286428987837,1.6
"(75, 55)",11.041671011718833,-0.4573460771925939,1.58755,-0.49078658566087263,1.59
"(75, 60)",7.503959148880412,-0.46212827934305833,1.57287,-0.43964843857744196,1.58
"(75, 65)",8.378895385899222,-0.4670152012486426,1.5582500000000001,-0.4928809807632657,1.56
"(75, 75)",0.9671191116910749,-0.47705084444761026,1.53679,-0.4792674125977108,1.54
"(80, 25)",1.2982833393252426,-0.42123521496883165,1.6764200000000002,-0.41818088877791304,1.68
"(80, 45)",5.232165778146686,-0.4385314278560952,1.61,-0.42289327775829744,1.61
"(80, 50)",1.5998532109288226,-0.44306928391128064,1.59519,-0.4392993727270431,1.6
"(80, 55)",0.9227339841269374,-0.44767695313654565,1.5804200000000002,-0.4448844263334246,1.58
"(80, 60)",7.493158054159646,-0.4523893421169305,1.56566,-0.4295255289158755,1.57
"(80, 65)",9.96342892701766,-0.4571889975599146,1.5509700000000002,-0.4881685917828813,1.55
"(80, 70)",8.96217672777082,-0.46209337275801854,1.53632,-0.49008845396007494,1.54
"(80, 75)",7.094096657569205,-0.46708501441872263,1.5217100000000001,-0.4895648551844767,1.52
"(85, 35)",1.0594360855461487,-0.4202578305877145,1.63999,-0.4171336912267165,1.6400000000000001
"(85, 50)",1.3765886421826177,-0.43338270656271227,1.58827,-0.42935099599067605,1.59
"(85, 55)",6.545935207356708,-0.43792056261789725,1.5734400000000002,-0.41835542170311246,1.58
"(85, 60)",1.533237552695313,-0.44256313842820205,1.55861,-0.43790310932544774,1.56
"(85, 65)",0.9629863092283162,-0.447292980701107,1.54383,-0.4455825580342223,1.54
"(85, 70)",2.518586989380202,-0.45211008943661124,1.52912,-0.44418629463262693,1.53
"(85, 75)",2.1539545799255695,-0.4570319179272353,1.51444,-0.45081854579020497,1.51
"(85, 80)",8.32981112553118,-0.46205846617297874,1.49981,-0.488866723483679,1.5
"(85, 85)",6.328250972635537,-0.46717228088132234,1.4852100000000001,-0.4874704600820836,1.49
"(85, 95)",1.4114063112307127,-0.47774897614840794,1.45626,-0.4796164784481096,1.45
"(90, 40)",2.087792673881176,-0.414917123076612,1.6185,-0.40875611081714425,1.62
"(90, 60)",4.214206792610732,-0.4326322149843542,1.55172,-0.4195771521795084,1.55
"(90, 65)",2.0790947321575457,-0.4372922440871796,1.53685,-0.4310963252426703,1.54
"(90, 70)",6.10433518134972,-0.44202208636008367,1.52206,-0.422718744833098,1.52
"(90, 75)",0.6044416149525569,-0.44687410168062813,1.5073200000000002,-0.4461061568098206,1.51
"(90, 80)",6.584687897758299,-0.4518133834637723,1.4926300000000001,-0.430572726467072,1.49
"(90, 85)",9.38105641316696,-0.4568573850020359,1.4778700000000002,-0.4874704600820836,1.48
"(90, 90)",7.780559963267132,-0.46200610629541927,1.46322,-0.48764499300728303,1.46
"(90, 95)",7.890459856430617,-0.46727700063644173,1.4486800000000002,-0.4935791124640634,1.45
"(90, 100)",1.1389297620246979,-0.47265261473258446,1.4342400000000002,-0.4701917004873408,1.43
"(95, 60)",0.950172481650732,-0.4226140250779069,1.55243,-0.4201007509551067,1.55
"(95, 70)",4.895560348398484,-0.4318468168209568,1.51519,-0.41661009245111824,1.52
"(95, 75)",0.6859621350181906,-0.4366115656789016,1.50028,-0.4344124508214593,1.5
"(95, 80)",6.8654286220962195,-0.4414810342919657,1.4854100000000001,-0.419402619254309,1.49
"(95, 85)",0.2045293505177053,-0.4464377693676296,1.47059,-0.4469788214358177,1.47
"(95, 90)",0.8529763043688079,-0.45149922419841326,1.45591,-0.4518657433414015,1.46
"(95, 95)",9.59116400428262,-0.45668285207683645,1.4413300000000002,-0.488866723483679,1.44
"(95, 100)",8.274997306484474,-0.46197119971037903,1.42681,-0.4899139210348755,1.43
"(95, 105)",10.323375334259419,-0.4673642670990419,1.4123100000000002,-0.43249258864426565,1.42
"(100, 60)",0.9544633695884694,-0.4125085687088599,1.54584,-0.41119957176993616,1.55
"(100, 65)",1.1856131587664986,-0.41699406488648516,1.53098,-0.4132939668723292,1.53
"(100, 70)",1.0817713387556802,-0.4215842808192303,1.51615,-0.4192280863291096,1.52
"(100, 80)",0.5023431468955627,-0.43102651207251963,1.47859,-0.4297000618410749,1.48
"(100, 85)",7.090110905263864,-0.4359134339781039,1.46371,-0.4129449010219304,1.47
"(100, 90)",0.6239431733315074,-0.4408876223462874,1.4489,-0.43895030687664427,1.45
"(100, 95)",8.500142412983994,-0.4459839837621109,1.43417,-0.4176572900023148,1.44
"(100, 100)",0.4726641030020808,-0.4511850649330542,1.4195600000000002,-0.449596815313809,1.42
"(100, 105)",7.7514429285903015,-0.4564908658591169,1.40504,-0.48293260402689864,1.41
"(100, 110)",8.081777350147016,-0.4619188398328191,1.39049,-0.49008845396007494,1.3900000000000001
"(100, 115)",4.271590596434551,-0.4674689868541613,1.37595,-0.4527384079673986,1.3800000000000001
"(100, 135)",0.5794106783493602,-0.49097857187852467,1.32742,-0.49008845396007494,1.33
"(105, 85)",3.8770529371221185,-0.4252843788334584,1.4569800000000002,-0.41259583517153153,1.46
"(105, 90)",0.8192846933335849,-0.43017130073904264,1.44211,-0.43249258864426565,1.44
"(105, 95)",0.8542910668604178,-0.4351629423997463,1.42734,-0.43737951054984947,1.43
"(105, 100)",0.5631370145495098,-0.44027675710808944,1.41258,-0.43964843857744196,1.41
"(105, 105)",0.8420827261870301,-0.4454952915715529,1.3979800000000002,-0.442964564156231,1.4000000000000001
"(105, 110)",0.8185146316345208,-0.45083599908265537,1.38331,-0.4492477494634102,1.3800000000000001
"(105, 115)",8.118681389343067,-0.4562988796413978,1.3687,-0.4850269991292917,1.37
"(105, 120)",8.65750429653468,-0.4618664799552592,1.35419,-0.49253191491286685,1.36
"(110, 80)",1.047279710431158,-0.4098382149533084,1.46529,-0.4085815778919448,1.47
"(110, 85)",0.16779791544869258,-0.41453315064117335,1.45037,-0.41503929612432344,1.45
"(110, 90)",2.7856411758831445,-0.4193328060841577,1.4354900000000002,-0.41050144006913847,1.44
"(110, 100)",4.822286555626419,-0.4292637295280053,1.40578,-0.4129449010219304,1.41
"(110, 105)",5.505528122943909,-0.4343775442363489,1.39104,-0.41521382904952286,1.3900000000000001
"(110, 110)",0.8569577034944781,-0.43963098528485167,1.3763,-0.4382521751758466,1.3800000000000001
"(110, 115)",0.4935804566598836,-0.4449891460884743,1.36162,-0.44628068973502,1.36
"(110, 120)",0.7055927410680506,-0.4504694799397364,1.347,-0.4516912104162021,1.35
"(110, 125)",0.5482680078155794,-0.4560719868386385,1.33241,-0.45692719817218475,1.33
"(110, 130)",7.540744377415787,-0.46181412007769973,1.3179200000000002,-0.4895648551844767,1.32
"(110, 150)",0.07165833745373175,-0.48619636972806024,1.2698,-0.4864232625308871,1.27
"(110, 155)",1.1749561525914962,-0.4926715412529594,1.2556600000000002,-0.4935791124640634,1.25
"(115, 110)",0.312691231937933,-0.42828634514688857,1.36946,-0.427256600888283,1.37
"(115, 115)",2.675301268376668,-0.43355723948791125,1.3547200000000001,-0.4248131399354911,1.36
"(115, 120)",0.09339831613760291,-0.438932853584054,1.33996,-0.4386012410262454,1.34
"(115, 125)",6.154687837177504,-0.4444480940203559,1.3253400000000002,-0.42219514605749975,1.33
"(115, 130)",0.3317770890409979,-0.45008550750429777,1.3107499999999999,-0.4511676116406038,1.31
"(115, 135)",1.1556320918670258,-0.4558625473283988,1.29616,-0.4590215932745778,1.3
"(115, 140)",2.8560510242292185,-0.4617617602001398,1.2817,-0.4509930787154044,1.28
"(115, 150)",6.202046977372354,-0.4740314248416597,1.2624,-0.49811696851924836,1.26
"(120, 115)",0.5826468402488819,-0.42200315983970893,1.34792,-0.4234168765338957,1.35
"(120, 120)",0.6424209113363181,-0.42727405418073183,1.3331199999999999,-0.427256600888283,1.33
"(120, 125)",0.46047777551135943,-0.43268457486191414,1.31843,-0.43388885204586103,1.32
"(120, 130)",0.7732991940730037,-0.4381998152982165,1.30374,-0.43790310932544774,1.3
"(120, 135)",5.883875560341189,-0.44387213536719816,1.28913,-0.4216715472819015,1.29
"(120, 140)",3.3004222104806837,-0.4496666284838189,1.27455,-0.4375540434750489,1.27
"(120, 145)",1.0612690215739746,-0.4556182012331198,1.25998,-0.4597197249753755,1.26
"(120, 150)",7.272598150816488,-0.4617094003225799,1.24546,-0.4899139210348755,1.24
"(120, 165)",0.6720777338326724,-0.4809254753870378,1.20244,-0.4827580711016992,1.2
"(120, 170)",1.0890174375320931,-0.48766244629973565,1.18817,-0.4834562028024969,1.19
"(125, 125)",0.4501274044754628,-0.42078142936331275,1.31168,-0.4218460802071009,1.31
"(125, 130)",0.6740286313232591,-0.4261919500444953,1.2969300000000001,-0.42708206796308357,1.3
"(125, 135)",0.4668931589975144,-0.43174209706583744,1.28224,-0.4314453910930691,1.28
"(125, 140)",0.5080811634508332,-0.4374318704273388,1.26753,-0.4375540434750489,1.27
"(125, 145)",3.5734992058694135,-0.4432612701290002,1.25287,-0.4295255289158755,1.25
"(125, 150)",4.178363849139227,-0.4492302961708208,1.2382700000000002,-0.4328416544946645,1.24
"(125, 155)",1.331055557679093,-0.45535640184532067,1.22371,-0.4509930787154044,1.22
"(125, 160)",2.0358021615458086,-0.4616395871525003,1.20935,-0.4534365396681963,1.21
"(125, 165)",7.040429039314011,-0.4680973053848789,1.1949500000000002,-0.49654617219245356,1.2
"(125, 170)",5.475202301936143,-0.47471210324993773,1.18059,-0.49741883681845067,1.18
"(130, 135)",1.7290296752652814,-0.419489885716837,1.27556,-0.4145156973487252,1.27
"(130, 140)",0.32720639495388687,-0.42505748603069904,1.26076,-0.42394047530949397,1.26
"(130, 145)",0.8379390796229457,-0.4307647126847205,1.24601,-0.43004912769147374,1.25
"(130, 150)",0.27542300469339226,-0.4366115656789016,1.2313100000000001,-0.4368559117742512,1.23
"(130, 155)",5.786572027587517,-0.44261549830576197,1.2166299999999999,-0.4195771521795084,1.22
"(130, 160)",0.422122707021762,-0.4487765105653021,1.2020600000000001,-0.44889868361301133,1.2
"(130, 165)",0.8511762422846163,-0.45509460245752154,1.1876300000000002,-0.4579743957233813,1.19
"(130, 170)",1.191544841838119,-0.4615872272749404,1.17326,-0.457450796947783,1.17
"(130, 175)",6.778708386884589,-0.468236931725039,1.15893,-0.4968952380428524,1.16
"(135, 145)",0.49030121263469434,-0.41811107560776173,1.23934,-0.4162610266007194,1.24
"(135, 150)",0.9345694799707466,-0.4238357555543031,1.22455,-0.4241150082346934,1.22
"(135, 155)",5.015500029858746,-0.42971751513352396,1.2097900000000001,-0.40945424251794194,1.21
"(135, 160)",5.417104211620231,-0.435738901052904,1.19512,-0.4139920985731269,1.2
"(135, 165)",3.0762671825022747,-0.4419173666049643,1.1805400000000001,-0.42917646306547663,1.18
"(135, 170)",3.6034496190051213,-0.4482703650822235,1.16607,-0.4335397861954622,1.17
"(135, 175)",0.6941428540416514,-0.4547978964846826,1.15165,-0.45221480919180035,1.1500000000000001
"(135, 180)",7.134414345983588,-0.46151741410486036,1.13728,-0.492182849062468,1.1400000000000001
"(140, 135)",0.5134649887323119,-0.3945665839983581,1.2723000000000002,-0.39374627924999395,1.27
"(140, 150)",0.4274189132830451,-0.41092031908954496,1.2180600000000001,-0.411548637620335,1.22
"(140, 155)",0.7221665424337994,-0.4166449990360863,1.20319,-0.4153883619747223,1.2
"(140, 160)",4.7612534184473665,-0.4225442119078271,1.1884299999999999,-0.4029965242855633,1.19
"(140, 165)",6.445208860283641,-0.4285830511197275,1.17374,-0.40229839258476563,1.18
"(140, 170)",3.8537064215026873,-0.4347964232568273,1.15916,-0.4185299546283119,1.16
"(140, 175)",0.952258505423959,-0.4411843283191268,1.14467,-0.44104470197903733,1.1400000000000001
