,Position RMSE,AOA,TOA,EST AOA,EST TOA
"(40, 5)",1.169318885245295,-0.4750611691003366,1.7919800000000001,-0.47647488579452,1.797
"(40, 10)",0.6955255508204145,-0.47944194552284225,1.7774500000000002,-0.47822021504651424,1.78
"(45, 5)",13.378498906829929,-0.46657886893564404,1.7782,-0.5026548245744333,1.7790000000000001
"(45, 10)",9.827325353897658,-0.4709072854805898,1.76354,-0.49741883681845067,1.7690000000000001
"(50, 5)",26.166460909576923,-0.4580267556008719,1.7709000000000001,-0.5288347633543466,1.774
"(50, 10)",9.089318781829192,-0.4623028122682582,1.75618,-0.48694686130648535,1.7610000000000001
"(50, 15)",4.930049866920687,-0.46664868210572363,1.74149,-0.47996554429850846,1.746
"(50, 20)",6.988757125488338,-0.47106436511326955,1.7268100000000002,-0.4904375198104738,1.729
"(50, 25)",3.7783671774948098,-0.47556731458341517,1.7122600000000001,-0.4660029102825547,1.72
"(50, 30)",4.927178764126771,-0.4801400772236404,1.69771,-0.49392817831446223,1.694
"(55, 5)",1.4349572359372724,-0.44940482909601975,1.7637200000000002,-0.4485496177626125,1.7570000000000001
"(55, 10)",10.366637958724857,-0.453611072593326,1.74893,-0.4817108735505027,1.756
"(55, 15)",2.9559368843216083,-0.4579045825532324,1.73408,-0.4660029102825547,1.736
"(55, 20)",8.856218793620261,-0.4622679056832184,1.71932,-0.48694686130648535,1.716
"(55, 25)",12.138374560531085,-0.46670104198328355,1.7047,-0.5009094953224391,1.704
"(55, 30)",1.2825250888970576,-0.47122144474594885,1.69016,-0.4677482395345489,1.692
"(60, 25)",11.553281939862527,-0.4577649562130728,1.6973,-0.4904375198104738,1.699
"(60, 30)",8.688903655061795,-0.46223299909817817,1.6827,-0.48694686130648535,1.686
"(60, 35)",8.318441161450682,-0.4667708551533636,1.6681000000000001,-0.4904375198104738,1.674
"(60, 40)",3.6155962811115443,-0.4713959776711487,1.65354,-0.4817108735505027,1.6500000000000001
"(65, 30)",4.096403059313449,-0.4531572869878078,1.6753900000000002,-0.4415683007546356,1.672
"(65, 35)",12.551744511145504,-0.4576427831654333,1.66078,-0.49392817831446223,1.663
"(65, 40)",2.0601854657934595,-0.46219809251313837,1.6461800000000002,-0.4677482395345489,1.6500000000000001
"(65, 45)",9.2191512837475,-0.4668581216159633,1.63152,-0.49392817831446223,1.635
"(65, 50)",1.59301966170292,-0.4715879638888678,1.61688,-0.46949356878654314,1.61
"(70, 30)",1.0334600987042781,-0.4439943084148372,1.6683500000000002,-0.44680428851061826,1.67
"(70, 35)",8.957897379129852,-0.44840999142238314,1.6536600000000001,-0.42236967898269917,1.653
"(70, 40)",1.2717853325150563,-0.45291294089252876,1.6389500000000001,-0.45378560551859515,1.633
"(70, 45)",11.709612828452327,-0.45750315682527365,1.62421,-0.492182849062468,1.622
"(70, 50)",3.4300353793304637,-0.4621631859280986,1.60949,-0.4520402762666009,1.612
"(70, 55)",6.075512247400229,-0.4669279347860429,1.59483,-0.4852015320544911,1.597
"(75, 35)",1.550590314589666,-0.4391073865092534,1.64665,-0.4345869837466587,1.647
"(75, 40)",6.101671140788118,-0.443540522809319,1.6318500000000002,-0.4258603374866876,1.637
"(75, 45)",1.6973741667436462,-0.4480609255719843,1.61703,-0.4520402762666009,1.612
"(75, 50)",6.018318613156319,-0.4526511415047296,1.60226,-0.4345869837466587,1.603
"(75, 55)",12.060715409555531,-0.4573460771925939,1.58755,-0.49392817831446223,1.585
"(75, 60)",13.799050787358354,-0.46212827934305833,1.57287,-0.5044001538264276,1.573
"(75, 65)",6.46150840747971,-0.4670152012486426,1.5582500000000001,-0.48694686130648535,1.56
"(75, 75)",0.802467740497881,-0.47705084444761026,1.53679,-0.47647488579452,1.5330000000000001
"(80, 25)",0.7408036958472397,-0.42123521496883165,1.6764200000000002,-0.42062434973070495,1.673
"(80, 45)",5.447266990700963,-0.4385314278560952,1.61,-0.42236967898269917,1.613
"(80, 50)",1.6422495736046063,-0.44306928391128064,1.59519,-0.44680428851061826,1.59
"(80, 55)",1.472619469962606,-0.44767695313654565,1.5804200000000002,-0.4433136300066298,1.582
"(80, 60)",5.8623285758649955,-0.4523893421169305,1.56566,-0.4345869837466587,1.57
"(80, 65)",11.263958707230918,-0.4571889975599146,1.5509700000000002,-0.492182849062468,1.548
"(80, 70)",8.481105313596418,-0.46209337275801854,1.53632,-0.48869219055847957,1.534
"(80, 75)",8.475811895642728,-0.46708501441872263,1.5217100000000001,-0.49392817831446223,1.5190000000000001
"(85, 35)",2.9025836490984847,-0.4202578305877145,1.63999,-0.42062434973070495,1.6540000000000001
"(85, 50)",0.9725360621579963,-0.43338270656271227,1.58827,-0.4345869837466587,1.584
"(85, 55)",5.085489672355776,-0.43792056261789725,1.5734400000000002,-0.42236967898269917,1.572
"(85, 60)",1.2526816430740124,-0.44256313842820205,1.55861,-0.44505895925862404,1.554
"(85, 65)",1.8482010101792024,-0.447292980701107,1.54383,-0.4415683007546356,1.545
"(85, 70)",2.2828602295866984,-0.45211008943661124,1.52912,-0.4590215932745778,1.526
"(85, 75)",1.024992747095764,-0.4570319179272353,1.51444,-0.45378560551859515,1.5150000000000001
"(85, 80)",9.360609581646493,-0.46205846617297874,1.49981,-0.492182849062468,1.498
"(85, 85)",8.762744959571286,-0.46717228088132234,1.4852100000000001,-0.49567350756645645,1.485
"(85, 95)",0.9793641219033289,-0.47774897614840794,1.45626,-0.4747295565425258,1.458
"(90, 40)",0.18674773755346266,-0.414917123076612,1.6185,-0.4153883619747223,1.618
"(90, 60)",3.4854083465228687,-0.4326322149843542,1.55172,-0.42236967898269917,1.557
"(90, 65)",0.8368353025610852,-0.4372922440871796,1.53685,-0.43807764225064716,1.5330000000000001
"(90, 70)",7.3351807451384765,-0.44202208636008367,1.52206,-0.41887902047871073,1.5250000000000001
"(90, 75)",1.1646590097132614,-0.44687410168062813,1.5073200000000002,-0.4433136300066298,1.5090000000000001
"(90, 80)",9.138309365418028,-0.4518133834637723,1.4926300000000001,-0.42236967898269917,1.496
"(90, 85)",11.874088894923371,-0.4568573850020359,1.4778700000000002,-0.49567350756645645,1.478
"(90, 90)",9.663173021027623,-0.46200610629541927,1.46322,-0.49392817831446223,1.463
"(90, 95)",6.950068507784651,-0.46727700063644173,1.4486800000000002,-0.4904375198104738,1.45
"(90, 100)",0.4887416603688504,-0.47265261473258446,1.4342400000000002,-0.47123889803853736,1.433
"(95, 60)",1.1665207150063217,-0.4226140250779069,1.55243,-0.4258603374866876,1.555
"(95, 70)",4.6229074198666495,-0.4318468168209568,1.51519,-0.4171336912267165,1.5150000000000001
"(95, 75)",0.6555913770396753,-0.4366115656789016,1.50028,-0.43807764225064716,1.498
"(95, 80)",2.2477399384863412,-0.4414810342919657,1.4854100000000001,-0.4345869837466587,1.489
"(95, 85)",0.995324998986737,-0.4464377693676296,1.47059,-0.4433136300066298,1.472
"(95, 90)",0.5649954882047263,-0.45149922419841326,1.45591,-0.4502949470146067,1.458
"(95, 95)",9.023423774281914,-0.45668285207683645,1.4413300000000002,-0.48694686130648535,1.442
"(95, 100)",8.909975354933023,-0.46197119971037903,1.42681,-0.492182849062468,1.427
"(95, 105)",0.1277375267209684,-0.4673642670990419,1.4123100000000002,-0.4677482395345489,1.412
"(100, 60)",0.9321855706797398,-0.4125085687088599,1.54584,-0.41364303272272807,1.55
"(100, 65)",1.139321791498966,-0.41699406488648516,1.53098,-0.41364303272272807,1.5330000000000001
"(100, 70)",0.84411559374313,-0.4215842808192303,1.51615,-0.41887902047871073,1.516
"(100, 80)",1.0511572111035425,-0.43102651207251963,1.47859,-0.42760566673868183,1.479
"(100, 85)",3.0558888892638922,-0.4359134339781039,1.46371,-0.4258603374866876,1.465
"(100, 90)",0.5403274530223012,-0.4408876223462874,1.4489,-0.4398229715026414,1.451
"(100, 95)",5.039594151409811,-0.4459839837621109,1.43417,-0.42935099599067605,1.439
"(100, 100)",0.7689747943182482,-0.4511850649330542,1.4195600000000002,-0.45378560551859515,1.42
"(100, 105)",11.88788686362133,-0.4564908658591169,1.40504,-0.49741883681845067,1.407
"(100, 110)",8.18089291537669,-0.4619188398328191,1.39049,-0.4904375198104738,1.3900000000000001
"(100, 115)",2.4370117206798,-0.4674689868541613,1.37595,-0.4590215932745778,1.3780000000000001
