,RMSE,Error > 1m
"(40, 5)",435.77414330806124,True
"(40, 10)",177.55224309017717,True
"(45, 5)",423.45779465786933,True
"(45, 10)",422.8212385336546,True
"(50, 5)",419.9449693219015,True
"(50, 10)",362.9963916685793,True
"(50, 15)",418.68287667025874,True
"(50, 20)",418.09356746826325,True
"(50, 25)",353.92110788668214,True
"(50, 30)",416.9814505677613,True
"(55, 5)",416.4323623637901,True
"(55, 10)",415.780879045877,True
"(55, 15)",415.16972109611277,True
"(55, 20)",414.5812385069305,True
"(55, 25)",352.08189690055264,True
"(55, 30)",349.0600188714593,True
"(60, 25)",410.48036694711476,True
"(60, 30)",409.91799810038174,True
"(60, 35)",409.38828251819166,True
"(60, 40)",408.8849811400135,True
"(65, 30)",406.38769346269083,True
"(65, 35)",405.84816312493024,True
"(65, 40)",405.3326212470757,True
"(65, 45)",404.8606461805971,True
"(65, 50)",333.3102446451382,True
"(70, 30)",402.84473748756795,True
"(70, 35)",402.2963378320277,True
"(70, 40)",401.78513688059076,True
"(70, 45)",401.30866038758614,True
"(70, 50)",400.861771125161,True
"(70, 55)",328.44875748229447,True
"(75, 35)",398.75138297850145,True
"(75, 40)",398.23916506000995,True
"(75, 45)",397.7598853371419,True
"(75, 50)",397.30708736912646,True
"(75, 55)",396.87505346096793,True
"(75, 60)",396.47671155434494,True
"(75, 65)",320.57367797614785,True
"(75, 75)",388.07806435717265,True
"(80, 25)",381.36919547205315,True
"(80, 45)",394.2096293356654,True
"(80, 50)",393.74652288424005,True
"(80, 55)",393.3132035936498,True
"(80, 60)",392.9073171219537,True
"(80, 65)",392.52669750952447,True
"(80, 70)",392.17580246153017,True
"(80, 75)",312.70006012976665,True
"(85, 35)",144.02099062333843,True
"(85, 50)",390.1896932666825,True
"(85, 55)",389.748242671324,True
"(85, 60)",389.3381365125282,True
"(85, 65)",388.95884219311273,True
"(85, 70)",388.6008570389427,True
"(85, 75)",388.2696815537578,True
"(85, 80)",387.96405745352286,True
"(85, 85)",360.96032239304856,True
"(85, 95)",298.8415125929947,True
"(90, 40)",373.74645627512837,True
"(90, 60)",385.77017480101534,True
"(90, 65)",385.386992423758,True
"(90, 70)",385.02409140174353,True
"(90, 75)",384.6909102789398,True
"(90, 80)",384.3795721652679,True
"(90, 85)",384.11485564374055,True
"(90, 90)",383.8665996744631,True
"(90, 95)",354.87955150168233,True
"(90, 100)",353.5148588580678,True
"(95, 60)",360.81590821169937,True
"(95, 70)",381.4442219451044,True
"(95, 75)",381.1202829445767,True
"(95, 80)",380.8236648786152,True
"(95, 85)",380.55373495513766,True
"(95, 90)",380.2969538515551,True
"(95, 95)",380.0575300920196,True
"(95, 100)",379.84186600112326,True
"(95, 105)",289.0890756001806,True
"(100, 60)",370.15497579477477,True
"(100, 65)",133.61020181853092,True
"(100, 70)",133.8073495545284,True
"(100, 80)",377.23115638436315,True
"(100, 85)",376.9572663883842,True
"(100, 90)",376.7053521564958,True
"(100, 95)",376.47399733480603,True
"(100, 100)",376.2574550081364,True
"(100, 105)",376.05710680916474,True
"(100, 110)",375.89841118248313,True
"(100, 115)",342.87721759986005,True
"(100, 135)",372.1076680585463,True
"(105, 85)",373.3579294159289,True
"(105, 90)",373.1010186311603,True
"(105, 95)",372.8595793564325,True
"(105, 100)",372.65451652168167,True
"(105, 105)",372.45268239314703,True
"(105, 110)",372.2990681963718,True
"(105, 115)",372.16921829492384,True
"(105, 120)",372.05462022279164,True
"(110, 80)",370.0698250593881,True
"(110, 85)",369.76755159281413,True
"(110, 90)",369.49739149021144,True
"(110, 100)",369.0474942778735,True
"(110, 105)",368.8542160772622,True
"(110, 110)",368.6971263929946,True
"(110, 115)",368.560940821118,True
"(110, 120)",368.4505679678127,True
"(110, 125)",368.37118141597455,True
"(110, 130)",368.307667199305,True
"(110, 150)",142.49829242667974,True
"(110, 155)",366.2940237744837,True
"(115, 110)",365.09489391353213,True
"(115, 115)",364.9537127245168,True
"(115, 120)",364.85130860473623,True
"(115, 125)",364.7590278299108,True
"(115, 130)",364.69713944197684,True
"(115, 135)",364.66900402768766,True
"(115, 140)",364.65101216635856,True
"(115, 150)",355.8239474014276,True
"(120, 115)",361.3582161389119,True
"(120, 120)",361.2471969354437,True
"(120, 125)",361.15186399625486,True
"(120, 130)",361.08845307272065,True
"(120, 135)",361.0455576413558,True
"(120, 140)",361.0331446165069,True
"(120, 145)",361.05407739920497,True
"(120, 150)",361.10053425035574,True
"(120, 165)",361.3400343487597,True
"(120, 170)",361.47881413437216,True
"(125, 125)",357.54765196550335,True
"(125, 130)",357.47901943623333,True
"(125, 135)",357.43323205173994,True
"(125, 140)",357.42822972163935,True
"(125, 145)",357.4469725918867,True
"(125, 150)",357.49190742204775,True
"(125, 155)",357.5595734648582,True
"(125, 160)",357.6232382129432,True
"(125, 165)",357.7318376480371,True
"(125, 170)",238.96937288003804,True
"(130, 135)",258.17242098277165,True
"(130, 140)",353.8075360067588,True
"(130, 145)",353.82760361085815,True
"(130, 150)",249.0341523645465,True
"(130, 155)",353.94776967030845,True
"(130, 160)",354.0344043585389,True
"(130, 165)",354.12647114458866,True
"(130, 170)",354.2398812074881,True
"(130, 175)",354.38206321884667,True
"(135, 145)",350.20987409260715,True
"(135, 150)",247.2292143407719,True
"(135, 155)",350.32329896099463,True
"(135, 160)",350.41217957201235,True
"(135, 165)",350.5143904827575,True
"(135, 170)",350.6302469345733,True
"(135, 175)",350.76766189428895,True
"(135, 180)",350.9281654475933,True
"(140, 135)",343.0717420860271,True
"(140, 150)",346.61589687756475,True
"(140, 155)",346.6925520855429,True
"(140, 160)",346.77859710642656,True
"(140, 165)",346.88359906087635,True
"(140, 170)",233.2819649303177,True
"(140, 175)",347.12939280360825,True
"(140, 180)",227.27500860017497,True
"(140, 185)",347.45857556272455,True
"(140, 190)",221.32889567608484,True
"(145, 150)",343.0091923697995,True
"(145, 155)",343.06021471667435,True
"(145, 160)",343.13951716278024,True
"(145, 165)",234.51224357264243,True
"(145, 170)",343.35529911544353,True
"(145, 175)",228.42935123061005,True
"(145, 180)",225.40899904797425,True
"(145, 185)",222.40327454396348,True
"(145, 190)",344.0164378394935,True
"(145, 195)",344.234886055851,True
"(145, 200)",213.48043995715224,True
"(150, 150)",339.3788205732766,True
"(150, 155)",339.4232806018577,True
"(150, 160)",339.48765284796207,True
"(150, 165)",339.57102506993164,True
"(150, 170)",229.6862620883033,True
"(150, 175)",294.4512425081009,True
"(150, 180)",223.58368514854877,True
"(150, 185)",220.55337255522034,True
"(150, 190)",340.365655244528,True
"(150, 195)",340.5844314344965,True
"(150, 200)",340.81474717968064,True
"(150, 205)",208.58595536102388,True
"(150, 210)",205.63568193567937,True
"(155, 155)",335.82297198347476,True
"(155, 175)",224.8683215991875,True
"(155, 180)",221.80002072279115,True
"(155, 190)",215.70490757144537,True
"(155, 195)",336.93651223680945,True
"(155, 200)",337.1617361507472,True
"(155, 205)",337.41423885879357,True
"(155, 210)",203.69712160064842,True
"(155, 215)",337.95060434342577,True
"(155, 220)",197.7950327860873,True
"(155, 225)",340.4433631054229,True
"(155, 230)",148.30387111518442,True
"(160, 160)",326.49563285734524,True
"(160, 195)",210.86399408171582,True
"(160, 200)",333.51224154217823,True
"(160, 205)",333.7553783326136,True
"(160, 210)",334.0110278407466,True
"(160, 215)",334.27226955668203,True
"(160, 220)",334.55288213102574,True
"(160, 225)",334.85139490726954,True
"(160, 230)",189.9587668884817,True
"(165, 195)",209.0931889297551,True
"(165, 200)",329.8650384967997,True
"(165, 205)",330.0978496002623,True
"(165, 210)",330.3482769229162,True
"(165, 215)",330.6066404194969,True
"(165, 220)",193.9385211590838,True
"(165, 225)",331.1779451387228,True
"(165, 230)",331.46299205456137,True
"(165, 235)",331.7675879394822,True
"(165, 240)",182.12731451012112,True
"(170, 205)",326.4502220243319,True
"(170, 210)",326.6915218610221,True
"(170, 215)",326.94605061244187,True
"(170, 220)",327.2329234425098,True
"(170, 225)",327.5009951596134,True
"(170, 230)",327.78296302202006,True
"(170, 235)",328.0697922587338,True
"(170, 240)",328.3736953784687,True
"(170, 245)",177.21447507381126,True
"(170, 250)",174.3010976498745,True
"(175, 210)",196.39353691772428,True
"(175, 215)",323.307062642772,True
"(175, 220)",323.57504645017667,True
"(175, 225)",187.23057305044597,True
"(175, 230)",184.20907482975747,True
"(175, 235)",181.20515753441353,True
"(175, 240)",324.6704796094865,True
"(175, 245)",263.6616847067065,True
"(175, 250)",172.30759111974712,True
"(175, 255)",169.38294396604368,True
"(180, 205)",318.849722109157,True
"(180, 210)",263.4787872817218,True
"(180, 220)",188.50765486089122,True
"(180, 225)",320.1637147400867,True
"(180, 230)",320.4239594401702,True
"(180, 235)",179.35694549925003,True
"(180, 240)",176.34095482682287,True
"(180, 245)",321.25843246942316,True
"(180, 250)",170.36508574110567,True
"(180, 255)",167.40722321019828,True
"(180, 260)",257.6992664304053,True
"(180, 265)",161.5568070322795,True
"(185, 225)",316.4956788150679,True
"(185, 230)",316.7448297252147,True
