,RMSE,Error > 1m
"(40, 5)",312.7404397915845,True
"(40, 10)",189.91437136604725,True
"(45, 5)",422.21064972347335,True
"(45, 10)",231.28871479389596,True
"(50, 5)",20.98037700730482,True
"(50, 10)",355.2248865573022,True
"(50, 15)",233.69028216276723,True
"(50, 20)",247.79507566764804,True
"(50, 25)",125.11216587276206,True
"(50, 30)",321.49205504066623,True
"(55, 5)",259.2688956648451,True
"(55, 10)",330.6677306556609,True
"(55, 15)",268.1959764966985,True
"(55, 20)",239.42695866997406,True
"(55, 25)",4.526230363386388,True
"(55, 30)",81.9108451514911,True
"(60, 25)",5.029931392763247,True
"(60, 30)",287.29971169219476,True
"(60, 35)",212.58980261147104,True
"(60, 40)",234.75537927613868,True
"(65, 30)",390.6835097138819,True
"(65, 35)",13.769978540072302,True
"(65, 40)",438.616012516838,True
"(65, 45)",46.570891422201875,True
"(65, 50)",71.32291355894816,True
"(70, 30)",129.78670011171246,True
"(70, 35)",310.67339616521247,True
"(70, 40)",403.74951071998476,True
"(70, 45)",305.7144004276317,True
"(70, 50)",298.07075662762105,True
"(70, 55)",262.24698837267164,True
"(75, 35)",96.45961850429501,True
"(75, 40)",11.694441770569314,True
"(75, 45)",118.40810629116044,True
"(75, 50)",17.888697038882157,True
"(75, 55)",287.80980589256615,True
"(75, 60)",327.30803360155636,True
"(75, 65)",4.860338166515127,True
"(75, 75)",10.214029164764238,True
"(80, 25)",470.52834131896543,True
"(80, 45)",148.8505828220536,True
"(80, 50)",265.96188141285205,True
"(80, 55)",2.9441551689309664,True
"(80, 60)",290.4169867854577,True
"(80, 65)",302.05298641059784,True
"(80, 70)",137.8754376024498,True
"(80, 75)",10.341981656728146,True
"(85, 35)",350.6739834028822,True
"(85, 50)",252.37195416879874,True
"(85, 55)",0.6132495128072085,False
"(85, 60)",230.68061474299617,True
"(85, 65)",3.517503633642172,True
"(85, 70)",194.42113248605008,True
"(85, 75)",143.14318556102253,True
"(85, 80)",17.03831717086127,True
"(85, 85)",3.9321735085582983,True
"(85, 95)",76.1350836420145,True
"(90, 40)",188.18479607876878,True
"(90, 60)",13.035592835704545,True
"(90, 65)",174.31955182528753,True
"(90, 70)",1.132883992676926,True
"(90, 75)",7.99734789718727,True
"(90, 80)",261.9347837473423,True
"(90, 85)",3.052540153170779,True
"(90, 90)",26.781985876641617,True
"(90, 95)",6.563750204578259,True
"(90, 100)",231.12895007554044,True
"(95, 60)",318.797151165915,True
"(95, 70)",9.553173580595683,True
"(95, 75)",10.797998320184046,True
"(95, 80)",6.949389833914995,True
"(95, 85)",248.36273194697435,True
"(95, 90)",7.1983168788497975,True
"(95, 95)",9.581451241021194,True
"(95, 100)",2.7570854540214818,True
"(95, 105)",42.52944898177125,True
"(100, 60)",67.00652302211705,True
"(100, 65)",4.032310908075339,True
"(100, 70)",155.13880178829507,True
"(100, 80)",95.59074554967466,True
"(100, 85)",10.74055319779782,True
"(100, 90)",11.816995481936079,True
"(100, 95)",319.016151460084,True
"(100, 100)",5.218211089539819,True
"(100, 105)",17.11895415664373,True
"(100, 110)",24.220391126003477,True
"(100, 115)",3.7451047986948027,True
"(100, 135)",7.729147033714442,True
"(105, 85)",4.6068676714219015,True
"(105, 90)",3.6645024320605946,True
"(105, 95)",4.824158763902933,True
"(105, 100)",176.11055748569234,True
"(105, 105)",283.6194975335216,True
"(105, 110)",4.554766983541555,True
"(105, 115)",191.86668679353423,True
"(105, 120)",2.620341383907066,True
"(110, 80)",5.896124732728596,True
"(110, 85)",183.65201330000752,True
"(110, 90)",3.36824266009019,True
"(110, 100)",251.4429288931826,True
"(110, 105)",6.956900905267238,True
"(110, 110)",2.0248577813116317,True
"(110, 115)",3.0212504009574928,True
"(110, 120)",108.4614324155409,True
"(110, 125)",3.1410547385570116,True
"(110, 130)",9.669077345460448,True
"(110, 150)",2.9017019588060284,True
"(110, 155)",1.0235043032342157,True
"(115, 110)",4.737352412776731,True
"(115, 115)",5.080041463781724,True
"(115, 120)",1.690619863675089,True
"(115, 125)",4.700693379628819,True
"(115, 130)",4.303830265647817,True
"(115, 135)",4.179804178486883,True
"(115, 140)",7.092188887617226,True
"(115, 150)",6.038316732256839,True
"(120, 115)",1.0548785572383916,True
"(120, 120)",2.7111625389763585,True
"(120, 125)",197.72871222152065,True
"(120, 130)",1.8562187640879364,True
"(120, 135)",2.004677018777508,True
"(120, 140)",7.17616202928244,True
"(120, 145)",1.1337765346755444,True
"(120, 150)",0.22559041364276847,False
"(120, 165)",2.440595369592351,True
"(120, 170)",3.2699430525468123,True
"(125, 125)",0.6175804129517792,False
"(125, 130)",4.292481773087855,True
"(125, 135)",1.8417274431899988,True
"(125, 140)",2.0484012239378147,True
"(125, 145)",5.1877341324824044,True
"(125, 150)",1.1190294276479702,True
"(125, 155)",0.4749005821147653,False
"(125, 160)",0.2516342988535248,False
"(125, 165)",7.250717880585274,True
"(125, 170)",7.578818742480964,True
"(130, 135)",9.481846137341412,True
"(130, 140)",7.697793596905414,True
"(130, 145)",4.533154061051221,True
"(130, 150)",2.7825890801098248,True
"(130, 155)",3.156621694288045,True
"(130, 160)",2.7545487290989334,True
"(130, 165)",1.8772916507881998,True
"(130, 170)",2.4071487406238483,True
"(130, 175)",8.964429079709701,True
"(135, 145)",2.5670288853182655,True
"(135, 150)",2.4775737178926653,True
"(135, 155)",20.15282320106751,True
"(135, 160)",2.0253879853069487,True
"(135, 165)",5.641711498118519,True
"(135, 170)",0.7968427206649297,False
"(135, 175)",2.489757575300393,True
"(135, 180)",6.508960006959026,True
"(140, 135)",1.640895639455614,True
