,RMSE,Error > 1m,Error > 1m 24,Error > 1m 6
"(115, 115)",1.088098965,TRUE,FALSE,TRUE
"(115, 120)",0.008153812,FALSE,FALSE,FALSE
"(115, 125)",0.959114219,FALSE,FALSE,TRUE
"(115, 130)",0.154172976,FALSE,FALSE,FALSE
"(115, 135)",0.789036184,FALSE,FALSE,FALSE
"(115, 140)",0.349166246,FALSE,FALSE,FALSE
"(115, 150)",6.738032553,TRUE,TRUE,FALSE
"(120, 115)",0.428550868,FALSE,FALSE,FALSE
"(120, 120)",0.642413063,FALSE,FALSE,FALSE
"(120, 125)",0.323048634,FALSE,FALSE,FALSE
"(120, 130)",0.76902283,FALSE,FALSE,FALSE
"(120, 135)",0.178757129,FALSE,FALSE,FALSE
"(120, 140)",0.934202759,FALSE,FALSE,TRUE
"(120, 145)",0.004403016,FALSE,FALSE,FALSE
"(120, 150)",0.930765368,FALSE,FALSE,TRUE
"(120, 165)",0.498957834,FALSE,FALSE,FALSE
"(120, 170)",0.374343293,FALSE,FALSE,FALSE
"(125, 125)",0.345567395,FALSE,FALSE,FALSE
"(125, 130)",0.631054,FALSE,FALSE,FALSE
"(125, 135)",0.460097481,FALSE,FALSE,FALSE
"(125, 140)",0.506991907,FALSE,FALSE,FALSE
"(125, 145)",0.588616172,FALSE,FALSE,FALSE
"(125, 150)",0.354704186,FALSE,FALSE,FALSE
"(125, 155)",0.75977418,FALSE,FALSE,TRUE
"(125, 160)",0.132787936,FALSE,FALSE,FALSE
"(125, 165)",1.032303889,TRUE,TRUE,TRUE
"(125, 170)",6.312344587,TRUE,TRUE,FALSE
"(130, 135)",0.911764305,FALSE,FALSE,TRUE
"(130, 140)",0.155934282,FALSE,FALSE,FALSE
"(130, 145)",0.818077758,FALSE,FALSE,FALSE
"(130, 150)",0.268388338,FALSE,FALSE,FALSE
"(130, 155)",0.689902095,FALSE,FALSE,TRUE
"(130, 160)",0.420885396,FALSE,FALSE,FALSE
"(130, 165)",0.484383667,FALSE,FALSE,FALSE
"(130, 170)",0.665478263,FALSE,FALSE,TRUE
"(130, 175)",0.218204703,FALSE,FALSE,TRUE
"(135, 145)",0.135256339,FALSE,FALSE,FALSE
"(135, 150)",0.93184538,FALSE,FALSE,FALSE
"(135, 155)",0.043008305,FALSE,FALSE,FALSE
"(135, 160)",0.997823452,FALSE,FALSE,TRUE
"(135, 165)",0.110276537,FALSE,FALSE,FALSE
