,RMSE,Error > 1m
"(40, 5)",285.2348640228667,True
"(40, 10)",349.7499670845072,True
"(45, 5)",398.38002165524176,True
"(45, 10)",362.80709110021434,True
"(50, 5)",306.22143213687326,True
"(50, 10)",187.24523455733353,True
"(50, 15)",409.61217306851796,True
"(50, 20)",303.3586242786614,True
"(50, 25)",255.54786157308212,True
"(50, 30)",48.957313735696275,True
"(55, 5)",64.00559500632919,True
"(55, 10)",410.706595797712,True
"(55, 15)",187.53607172135912,True
"(55, 20)",189.99782248153855,True
"(55, 25)",401.46042044112005,True
"(55, 30)",188.49287905526532,True
"(60, 25)",8.22205009508029,True
"(60, 30)",366.55241076754567,True
"(60, 35)",165.57878648934218,True
"(60, 40)",44.99863771569159,True
"(65, 30)",367.1393843148899,True
"(65, 35)",269.3315318851015,True
"(65, 40)",9.140166043982587,True
"(65, 45)",368.4997176720534,True
"(65, 50)",110.66926806518534,True
"(70, 30)",272.87750237577586,True
"(70, 35)",367.6973265018157,True
"(70, 40)",304.5121168943914,True
"(70, 45)",357.1759098875907,True
"(70, 50)",251.79622833272427,True
"(70, 55)",221.986851241783,True
"(75, 35)",157.12959183986595,True
"(75, 40)",240.14943502692066,True
"(75, 45)",281.8640016000105,True
"(75, 50)",215.60653628411032,True
"(75, 55)",281.6722474738928,True
"(75, 60)",34.59403255640649,True
"(75, 65)",7.449192278683144,True
"(75, 75)",267.19322329168233,True
"(80, 25)",285.09861387170673,True
"(80, 45)",255.10927598408517,True
"(80, 50)",167.8936148365545,True
"(80, 55)",316.39899195927444,True
"(80, 60)",251.54763167225812,True
"(80, 65)",382.4361610839337,True
"(80, 70)",366.6771060332613,True
"(80, 75)",228.75515286811685,True
"(85, 35)",201.01692439501153,True
"(85, 50)",299.48948301208526,True
"(85, 55)",156.77893246309964,True
"(85, 60)",261.7462625453065,True
"(85, 65)",364.47895285940757,True
"(85, 70)",230.7903608971782,True
"(85, 75)",326.58745659984186,True
"(85, 80)",238.132757981452,True
"(85, 85)",311.7665239580993,True
"(85, 95)",311.35317562746263,True
"(90, 40)",236.5160852838705,True
"(90, 60)",312.5672801720144,True
"(90, 65)",232.8498915162624,True
"(90, 70)",217.6702602758653,True
"(90, 75)",285.8379682276575,True
"(90, 80)",307.28770943766915,True
"(90, 85)",4.423549888131345,True
"(90, 90)",243.38271338087566,True
"(90, 95)",109.31989220091873,True
"(90, 100)",289.3788110184588,True
"(95, 60)",220.1410735259434,True
"(95, 70)",216.82223520830624,True
"(95, 75)",131.2948723839414,True
"(95, 80)",148.89446122756019,True
"(95, 85)",271.4424065059684,True
"(95, 90)",73.43494337447011,True
"(95, 95)",274.96262543009635,True
"(95, 100)",20.7745554953606,True
"(95, 105)",485.7389881053799,True
"(100, 60)",118.18008647639954,True
"(100, 65)",296.9231601594925,True
"(100, 70)",293.36939660626496,True
"(100, 80)",7.782504576980711,True
"(100, 85)",303.06458852386976,True
"(100, 90)",271.5569053745574,True
"(100, 95)",346.41690765066767,True
"(100, 100)",170.3621434067764,True
"(100, 105)",7.4511837014029245,True
